Name,Type,Dues/Membership Duration,Registration Status,Facet 1,Facet 2,Facet 3
Urban Planning and Policy Student Association,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Alpha Eta Mu Beta,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Alpha Kappa Psi",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Anesthesiology Interest Group",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Anthropology Club,Academic Groups & Honor Societies - Registered Student Organizations,"(Ends at Graduation)
Will end at Graduation",Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Association for Logic and Reasoning,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Association of Future Healthcare Administrators,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Astronomy Club,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Beta Gamma Sigma,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Biostatistics Student Association,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Black Graduate Student Association,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Black Students in Business",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"Black Indigenous People of Color Dietetics and Nutrition Association",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Business Student Advisory Board,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
ChemER,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Classics Club",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Collegiate Association of Business Scholars,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Criminology, Law and Justice Student Society",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Dermatology Interest Group",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Diagnostic Radiology Interest Group",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"Ear, Nose, and Throat Student Interest Group",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Emergency Medicine Interest Group,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Finding Ophthalmic Care for the Underserved Student Organization",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
French Club",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Graduate Anthropology and Geography Association",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Graduate Association of Physics Students",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Honors College Advisory Board",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Improv Club at UIC",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Information and Decision Sciences Organization",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Institute for Operation Research and Management Sciences (INFORMS) - UIC Student Chapter",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
International Students Coalition,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Light the Way Student Organization",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Linguistics Club",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Management Leadership Association",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"        
Mycology and Sustainability Club",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Physics Club",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Psi Chi: The International Honor Society in Psychology",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Quantum Information Science Society @ UIC,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Society for Neuroscience, Psychology, and Psychiatry",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Steam Train",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Student Cardiology Society,Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Trackers Student Organization",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
"	
Vehicle Electronics and Systems Engineering",Academic Groups & Honor Societies - Registered Student Organizations,Lifetime membership,Not Registered,Educational Enrichment,Career Development,Professional and Academic Networks
Campus Housing - Selection Taskforce,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Academic Center for Excellence,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Advising Development,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
African American Academic Network,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Asian American Student Academic Program,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Bookstore/Tech Center,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Campus Housing,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Campus Housing - Academic Team Programs,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Campus Housing – National Residence Hall Honorary,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Campus Housing – Project LEAD,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Campus Housing – Residence Hall Association,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Career Services,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
CAS Administration,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Center for Student Involvement,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
CHANCE Program,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Commuter and Off-Campus Life/Commuter Student Resource Center,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Creative Digital Services,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Credit Union 1 Arena,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Dining Services,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
Fraternity and Sorority Life,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
ID Center,UIC Student Affairs,Lifetime membership,Not Registered,Leadership Development:,Community Service,Educational Enrichment
